Month,chumpon,surat
2004-01,1233,236
2004-02,1710,402
2004-03,2989,
2004-04,139,
2004-05,2164,25
2004-06,4944,253
2004-07,14017,2326
2004-08,19356,16534
2004-09,26777,13681
2004-10,14645,3820
2004-11,23032,4318
2004-12,5316,617
2005-01,,
2005-02,,
2005-03,,
2005-04,,
2005-05,4500,
2005-06,9164,5808
2005-07,18381,10284
2005-08,41274,10540
2005-09,13753,4822
2005-10,4583,1836
2005-11,,
2005-12,,
2006-01,,
2006-02,,
2006-03,,
2006-04,,
2006-05,1597,
2006-06,9631,
2006-07,26849,6431
2006-08,25552,11506
2006-09,7486,6647
2006-10,2249,4940
2006-11,524,3237
2006-12,973,
2007-01,,
2007-02,1602,
2007-03,668,
2007-04,,
2007-05,5208,1578
2007-06,15890,3311
2007-07,37522,10587
2007-08,43798,14745
2007-09,16424,8277
2007-10,3071,
2007-11,5476,
2007-12,3873,
2008-01,,
2008-02,,
2008-03,,
2008-04,,
2008-05,5100,289
2008-06,15862,1609
2008-07,20107,7630
2008-08,27570,20636
2008-09,23496,7349
2008-10,3802,
2008-11,3279,
2008-12,1368,
2009-01,2517,902
2009-02,2517,1877
2009-03,2517,1805
2009-04,,
2009-05,3831,112
2009-06,9257,1307
2009-07,35753,6894
2009-08,35778,14875
2009-09,13984,3830
2009-10,9847,1210
2009-11,4260,1624
2009-12,2517,1660
2010-01,33,
2010-02,,
2010-03,2632,
2010-04,26,
2010-05,2143,
2010-06,1256,3868
2010-07,3393,11072
2010-08,24515,11033
2010-09,12810,3949
2010-10,9701,2173
2010-11,9153,
2010-12,469,
2011-01,,
2011-02,,
2011-03,,
2011-04,,
2011-05,,
2011-06,6468,1675
2011-07,9670,2768
2011-08,18707,16383
2011-09,13030,1500
2011-10,1492,
2011-11,1660,
2011-12,5065,
2012-01,3323,2724
2012-02,2135,973
2012-03,726,
2012-04,1782,
2012-05,4291,
2012-06,11674,471
2012-07,20542,3265
2012-08,21147,9847
2012-09,25020,4330
2012-10,10023,4086
2012-11,4401,2617
2012-12,4962,3290
2013-01,6822,2062
2013-02,4955,1757
2013-03,,
2013-04,,
2013-05,,
2013-06,6975,
2013-07,12133,7574
2013-08,38330,10919
2013-09,32752,4914
2013-10,8944,1876
2013-11,9630,2497
2013-12,6505,413
2014-01,605,
2014-02,907,
2014-03,453,
2014-04,302,
2014-05,756,
2014-06,5894,
2014-07,29170,5277
2014-08,79198,15243
2014-09,23125,4397
2014-10,8010,2931
2014-11,1814,1466
2014-12,907,
2015-01,1282,4252
2015-02,685,7681
2015-03,100,
2015-04,37,
2015-05,212,
2015-06,10072,54
2015-07,33900,6373
2015-08,44905,3975
2015-09,15935,4762
2015-10,5901,679
2015-11,5216,303
2015-12,6250,232
2016-01,4323,
2016-02,6320,
2016-03,2709,
2016-04,137,
2016-05,328,
2016-06,2928,349
2016-07,28086,9623
2016-08,6813,10061
2016-09,48334,2816
2016-10,31671,440
2016-11,2052,
2016-12,3106,
2017-01,1702,
2017-02,2137,
2017-03,868,
2017-04,114,
2017-05,1143,
2017-06,1257,107
2017-07,14556,1539
2017-08,56863,8465
2017-09,20919,7234
2017-10,9951,2993
2017-11,3839,780
2017-12,903,107
2018-01,7352,393
2018-02,9735,81
2018-03,6361,33
2018-04,139,
2018-05,5897,
2018-06,11051,20
2018-07,38167,4414
2018-08,40163,13907
2018-09,13620,6520
2018-10,9333,
2018-11,7770,
2018-12,5185,
2019-01,11081,1806
2019-02,14192,761
2019-03,7054,
2019-04,1111,
2019-05,1055,
2019-06,6304,1022
2019-07,31661,7167
2019-08,127534,21556
2019-09,39410,7272
2019-10,6471,3739
2019-11,10526,1512
2019-12,21330,990
2020-01,1546,530
2020-02,1893,21
2020-03,1231,
2020-04,316,
2020-05,8015,44
2020-06,39507,1521
2020-07,86114,16336
2020-08,61818,15247
2020-09,82454,3641
2020-10,30702,2056
2020-11,978,
2020-12,978,
