date,Chumphon,Surathani
Jan-47," 1,233 ", 236 
Feb-47," 1,710 ", 402 
Mar-47," 2,989 ",
Apr-47, 139 ,
May-47," 2,164 ", 25 
Jun-47," 4,944 ", 253 
Jul-47," 14,017 "," 2,326 "
Aug-47," 19,356 "," 16,534 "
Sep-47," 26,777 "," 13,681 "
Oct-47," 14,645 "," 3,820 "
Nov-47," 23,032 "," 4,318 "
Dec-47," 5,316 ", 617 
Jan-48,,
Feb-48,,
Mar-48,,
Apr-48,,
May-48," 4,500 ",
Jun-48," 9,164 "," 5,808 "
Jul-48," 18,381 "," 10,284 "
Aug-48," 41,274 "," 10,540 "
Sep-48," 13,753 "," 4,822 "
Oct-48," 4,583 "," 1,836 "
Nov-48,,
Dec-48,,
Jan-49,,
Feb-49,,
Mar-49,,
Apr-49,,
May-49," 1,597 ",
Jun-49," 9,631 ",
Jul-49," 26,849 "," 6,431 "
Aug-49," 25,552 "," 11,506 "
Sep-49," 7,486 "," 6,647 "
Oct-49," 2,249 "," 4,940 "
Nov-49, 524 ," 3,237 "
Dec-49, 973 ,
Jan-50,,
Feb-50," 1,602 ",
Mar-50, 668 ,
Apr-50,,
May-50," 5,208 "," 1,578 "
Jun-50," 15,890 "," 3,311 "
Jul-50," 37,522 "," 10,587 "
Aug-50," 43,798 "," 14,745 "
Sep-50," 16,424 "," 8,277 "
Oct-50," 3,071 ",
Nov-50," 5,476 ",
Dec-50," 3,873 ",
Jan-51,,
Feb-51,,
Mar-51,,
Apr-51,,
May-51," 5,100 ", 289 
Jun-51," 15,862 "," 1,609 "
Jul-51," 20,107 "," 7,630 "
Aug-51," 27,570 "," 20,636 "
Sep-51," 23,496 "," 7,349 "
Oct-51," 3,802 ",
Nov-51," 3,279 ",
Dec-51," 1,368 ",
Jan-52," 2,517 ", 902 
Feb-52," 2,517 "," 1,877 "
Mar-52," 2,517 "," 1,805 "
Apr-52,,
May-52," 3,831 ", 112 
Jun-52," 9,257 "," 1,307 "
Jul-52," 35,753 "," 6,894 "
Aug-52," 35,778 "," 14,875 "
Sep-52," 13,984 "," 3,830 "
Oct-52," 9,847 "," 1,210 "
Nov-52," 4,260 "," 1,624 "
Dec-52," 2,517 "," 1,660 "
Jan-53, 33 ,
Feb-53,,
Mar-53," 2,632 ",
Apr-53,,
May-53," 2,143 ",
Jun-53," 1,256 "," 3,868 "
Jul-53," 3,393 "," 11,072 "
Aug-53," 24,515 "," 11,033 "
Sep-53," 12,810 "," 3,949 "
Oct-53," 9,701 "," 2,173 "
Nov-53," 9,153 ",
Dec-53, 469 ,
Jan-54,,
Feb-54,,
Mar-54,,
Apr-54,,
May-54,,
Jun-54," 6,468 "," 1,675 "
Jul-54," 9,670 "," 2,768 "
Aug-54," 18,707 "," 16,383 "
Sep-54," 13,030 "," 1,500 "
Oct-54," 1,492 ",
Nov-54," 1,660 ",
Dec-54," 5,065 ",
Jan-55," 3,323 "," 2,724 "
Feb-55," 2,135 ", 973 
Mar-55, 726 ,
Apr-55," 1,782 ",
May-55," 4,291 ",
Jun-55," 11,674 ", 471 
Jul-55," 20,542 "," 3,265 "
Aug-55," 21,147 "," 9,847 "
Sep-55," 25,020 "," 4,330 "
Oct-55," 10,023 "," 4,086 "
Nov-55," 4,401 "," 2,617 "
Dec-55," 4,962 "," 3,290 "
Jan-56," 6,822 "," 2,062 "
Feb-56," 4,955 "," 1,757 "
Mar-56,,
Apr-56,,
May-56,,
Jun-56," 6,975 ",
Jul-56," 12,133 "," 7,574 "
Aug-56," 38,330 "," 10,919 "
Sep-56," 32,752 "," 4,914 "
Oct-56," 8,944 "," 1,876 "
Nov-56," 9,630 "," 2,497 "
Dec-56," 6,505 ", 413 
Jan-57, 605 ,
Feb-57, 907 ,
Mar-57, 453 ,
Apr-57, 302 ,
May-57, 756 ,
Jun-57," 5,894 ",
Jul-57," 29,170 "," 5,277 "
Aug-57," 79,198 "," 15,243 "
Sep-57," 23,125 "," 4,397 "
Oct-57," 8,010 "," 2,931 "
Nov-57," 1,814 "," 1,466 "
Dec-57, 907 ,
Jan-58," 1,282 "," 4,252 "
Feb-58, 685 ," 7,681 "
Mar-58, 100 ,
Apr-58, 37 ,
May-58, 212 ,
Jun-58," 10,072 ", 54 
Jul-58," 33,900 "," 6,373 "
Aug-58," 44,905 "," 3,975 "
Sep-58," 15,935 "," 4,762 "
Oct-58," 5,901 ", 679 
Nov-58," 5,216 ", 303 
Dec-58," 6,250 ", 232 
Jan-59," 4,323 ",
Feb-59," 6,320 ",
Mar-59," 2,709 ",
Apr-59, 137 ,
May-59, 328 ,
Jun-59," 2,928 ", 349 
Jul-59," 28,086 "," 9,623 "
Aug-59," 6,813 "," 10,061 "
Sep-59," 48,334 "," 2,816 "
Oct-59," 31,671 ", 440 
Nov-59," 2,052 ",
Dec-59," 3,106 ",
Jan-60," 1,702 ", 62 
Feb-60," 2,137 ", 88 
Mar-60, 868 ,
Apr-60, 114 ,
May-60," 1,143 ",
Jun-60," 1,257 ", 107 
Jul-60," 14,556 "," 1,539 "
Aug-60," 56,863 "," 8,465 "
Sep-60," 20,919 "," 7,234 "
Oct-60," 9,951 "," 2,993 "
Nov-60," 3,839 ", 780 
Dec-60, 903 , 107 
Jan-61," 7,352 ", 393 
Feb-61," 9,735 ", 81 
Mar-61," 6,361 ", 33 
Apr-61, 139 ,
May-61," 5,897 ",
Jun-61," 11,051 ", 20 
Jul-61," 38,167 "," 4,414 "
Aug-61," 40,163 "," 13,907 "
Sep-61," 13,620 "," 6,520 "
Oct-61," 9,333 ",
Nov-61," 7,770 ",
Dec-61," 5,185 ",
Jan-62," 11,081 "," 1,806 "
Feb-62," 14,192 ", 761 
Mar-62," 7,054 ",
Apr-62," 1,111 ",
May-62," 1,055 ",
Jun-62," 6,304 "," 1,022 "
Jul-62," 31,661 "," 7,167 "
Aug-62," 127,534 "," 21,556 "
Sep-62," 39,410 "," 7,272 "
Oct-62," 6,471 "," 3,739 "
Nov-62," 10,526 "," 1,512 "
Dec-62," 21,330 ", 990 
Jan-63," 1,546 ", 530 
Feb-63," 1,893 ", 21 
Mar-63," 1,231 ",
Apr-63, 316 ,
May-63," 8,015 ", 44 
Jun-63," 39,507 "," 1,521 "
Jul-63," 86,114 "," 16,336 "
Aug-63," 61,818 "," 15,247 "
Sep-63," 82,454 "," 3,641 "
Oct-63," 30,702 "," 2,056 "
Nov-63, 978 ,
Dec-63, 978 ,
