date,chumphon,suratthani
01/2547,1233,236
02/2547,1710,402
03/2547,2989,919
04/2547,139,472
05/2547,2164,25
06/2547,4944,253
07/2547,14017,2326
08/2547,19356,16534
09/2547,26777,13681
10/2547,14645,3820
11/2547,23032,4318
12/2547,5316,617
01/2548,3484,1440
02/2548,4065,1515
03/2548,2359,919
04/2548,410,630
05/2548,4500,342
06/2548,9164,5808
07/2548,18381,10284
08/2548,41274,10540
09/2548,13753,4822
10/2548,4583,1836
11/2548,5850,2039
12/2548,4356,1044
01/2549,3484,1440
02/2549,4065,1515
03/2549,2359,919
04/2549,410,630
05/2549,1597,342
06/2549,9631,1526
07/2549,26849,6431
08/2549,25552,11506
09/2549,7486,6647
10/2549,2249,4940
11/2549,524,3237
12/2549,973,1044
01/2550,3484,1440
02/2550,1602,1515
03/2550,668,919
04/2550,410,1248
05/2550,5208,1578
06/2550,15890,3311
07/2550,37522,10587
08/2550,43798,14745
09/2550,16424,8277
10/2550,3071,2521
11/2550,5476,2039
12/2550,3873,1044
01/2551,3484,1440
02/2551,4065,1515
03/2551,2359,919
04/2551,410,604
05/2551,5100,289
06/2551,15862,1609
07/2551,20107,7630
08/2551,27570,20636
09/2551,23496,7349
10/2551,3802,2521
11/2551,3279,2039
12/2551,1368,1044
01/2552,2517,902
02/2552,2517,1877
03/2552,2517,1805
04/2552,410,958
05/2552,3831,112
06/2552,9257,1307
07/2552,35753,6894
08/2552,35778,14875
09/2552,13984,3830
10/2552,9847,1210
11/2552,4260,1624
12/2552,2517,1660
01/2553,33,1440
02/2553,4065,1515
03/2553,2632,919
04/2553,26,462
05/2553,2143,6
06/2553,1256,3868
07/2553,3393,11072
08/2553,24515,11033
09/2553,12810,3949
10/2553,9701,2173
11/2553,9153,2039
12/2553,469,1044
01/2554,3484,1440
02/2554,4065,1515
03/2554,2359,919
04/2554,410,630
05/2554,3082,342
06/2554,6468,1675
07/2554,9670,2768
08/2554,18707,16383
09/2554,13030,1500
10/2554,1492,2521
11/2554,1660,2039
12/2554,5065,1044
01/2555,3323,2724
02/2555,2135,973
03/2555,726,919
04/2555,1782,630
05/2555,4291,342
06/2555,11674,471
07/2555,20542,3265
08/2555,21147,9847
09/2555,25020,4330
10/2555,10023,4086
11/2555,4401,2617
12/2555,4962,3290
01/2556,6822,2062
02/2556,4955,1757
03/2556,2359,919
04/2556,410,630
05/2556,3082,342
06/2556,6975,1526
07/2556,12133,7574
08/2556,38330,10919
09/2556,32752,4914
10/2556,8944,1876
11/2556,9630,2497
12/2556,6505,413
01/2557,605,1440
02/2557,907,1515
03/2557,453,919
04/2557,302,630
05/2557,756,342
06/2557,5894,1526
07/2557,29170,5277
08/2557,79198,15243
09/2557,23125,4397
10/2557,8010,2931
11/2557,1814,1466
12/2557,907,1044
01/2558,1282,4252
02/2558,685,7681
03/2558,100,919
04/2558,37,630
05/2558,212,342
06/2558,10072,54
07/2558,33900,6373
08/2558,44905,3975
09/2558,15935,4762
10/2558,5901,679
11/2558,5216,303
12/2558,6250,232
01/2559,4323,1440
02/2559,6320,1515
03/2559,2709,919
04/2559,137,630
05/2559,328,342
06/2559,2928,349
07/2559,28086,9623
08/2559,6813,10061
09/2559,48334,2816
10/2559,31671,440
11/2559,2052,2039
12/2559,3106,1044
01/2560,1702,62
02/2560,2137,88
03/2560,868,919
04/2560,114,630
05/2560,1143,342
06/2560,1257,107
07/2560,14556,1539
08/2560,56863,8465
09/2560,20919,7234
10/2560,9951,2993
11/2560,3839,780
12/2560,903,107
01/2561,7352,393
02/2561,9735,81
03/2561,6361,33
04/2561,139,187
05/2561,5897,342
06/2561,11051,20
07/2561,38167,4414
08/2561,40163,13907
09/2561,13620,6520
10/2561,9333,2521
11/2561,7770,2039
12/2561,5185,1044
01/2562,11081,1806
02/2562,14192,761
03/2562,7054,919
04/2562,1111,630
05/2562,1055,342
06/2562,6304,1022
07/2562,31661,7167
08/2562,127534,21556
09/2562,39410,7272
10/2562,6471,3739
11/2562,10526,1512
12/2562,21330,990
01/2563,1546,530
02/2563,1893,21
03/2563,1231,919
04/2563,316,481
05/2563,8015,44
06/2563,39507,1521
07/2563,86114,16336
08/2563,61818,15247
09/2563,82454,3641
10/2563,30702,2056
11/2563,978,2039
12/2563,978,1044
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,, 
