year,PerennialArea,FruitfulArea,yield,YieldPerRai
2547,133247,113929,116322,1021
2548,130880,110962,91655,826
2549,128404,110577,74861,677.0034
2550,125863,113644,133532,1175.0026
2551,119947,115349,100584,872
2552,115253,111616,122778,1100
2553,111912,109307,66131,605
2554,112532,108916,56092,515
2555,115938,108081,110026,1018
2556,124620,108494,127046,1171
2557,158079,125437,151141,1205
2558,167040,125404,124495,993
2559,202823,127250,136807,1075
2560,208848,130911,114252,873
2561,217725,147201,154773,1051
2562,223886,157833,277729,1760
2563,232011,196158,315552,1609
