year,PerennialArea,FruitfulArea,yield,YieldPerRai
2547,52895,37126,42212,1137
2548,53258,37405,33290,890
2549,51272,35687,32761,918
2550,46142,36665,38498,1050
2551,44932,37401,37513,1003
2552,37778,30772,36096,1173
2553,36436,30926,32101,1038
2554,34117,30089,22326,742
2555,29449,26926,31423,1167
2556,30154,24970,32012,1282
2557,31079,23580,28764,1220
2558,42167,23357,28311,1212
2559,45240,23807,23289,978
2560,54282,26876,21375,795
2561,70520,28191,25368,900
2562,76873,39039,45825,1174
2563,79994,40967,39396,962
